id,created_at,favorite_count,retweet_count,sentiment
515598027180896256,2014-09-26 20:25:23+00:00,274,224,0.0
515219518759514112,2014-09-25 19:21:20+00:00,220,149,0.1
514891631544127488,2014-09-24 21:38:25+00:00,308,249,0.0
514582842672967682,2014-09-24 01:11:24+00:00,319,226,0.625
514406056089223168,2014-09-23 13:28:55+00:00,702,610,0.0
514369840543301632,2014-09-23 11:05:01+00:00,219,234,-0.0625
514357917617639424,2014-09-23 10:17:38+00:00,188,181,0.06818181818181818
514238025904054272,2014-09-23 02:21:14+00:00,126,125,0.018181818181818174
513572559611105280,2014-09-21 06:16:54+00:00,2175,2302,0.0
513569997658914817,2014-09-21 06:06:43+00:00,338,231,0.0
513566556304203776,2014-09-21 05:53:03+00:00,385,365,0.0
513556627195047936,2014-09-21 05:13:36+00:00,236,281,0.13636363636363635
513206888964427776,2014-09-20 06:03:51+00:00,124,166,0.1333333333333333
513133733956706305,2014-09-20 01:13:10+00:00,487,480,0.0
512396318547791872,2014-09-18 00:22:56+00:00,873,815,0.234375
511988857126932480,2014-09-16 21:23:50+00:00,1413,1201,0.0
509132711319969793,2014-09-09 00:14:32+00:00,227,172,0.1
508620954436513793,2014-09-07 14:20:59+00:00,793,728,0.0
508496742036561920,2014-09-07 06:07:25+00:00,761,589,0.3875
505522503230320640,2014-08-30 01:08:51+00:00,464,310,0.0
504457765343879168,2014-08-27 02:37:58+00:00,192,189,0.0
504323837098344448,2014-08-26 17:45:47+00:00,156,120,0.0
502976401729798144,2014-08-23 00:31:33+00:00,286,450,0.0
502505703974531072,2014-08-21 17:21:10+00:00,277,167,0.0
501818921255985153,2014-08-19 19:52:08+00:00,399,397,0.4
500030540863389697,2014-08-14 21:25:45+00:00,316,381,0.13636363636363635
499700680970346497,2014-08-13 23:35:00+00:00,404,273,0.0
499314494795808768,2014-08-12 22:00:27+00:00,188,358,0.5
498935052235857921,2014-08-11 20:52:40+00:00,455,398,0.3
497807544589373441,2014-08-08 18:12:22+00:00,195,187,0.2
497457107508015107,2014-08-07 18:59:51+00:00,139,103,0.3
496641835209457667,2014-08-05 13:00:15+00:00,740,659,0.0
495328000783548417,2014-08-01 21:59:32+00:00,479,422,0.06818181818181818
494973301215621123,2014-07-31 22:30:05+00:00,285,312,0.0
494190139594121216,2014-07-29 18:38:05+00:00,104,64,0.0
493806820465451008,2014-07-28 17:14:55+00:00,138,140,0.175
493093443485200384,2014-07-26 18:00:12+00:00,440,282,0.0
492018755338113024,2014-07-23 18:49:47+00:00,130,69,0.05
491663163859820544,2014-07-22 19:16:47+00:00,376,528,0.19545454545454544
490235069550714880,2014-07-18 20:42:03+00:00,142,137,0.08522727272727272
489166607030038529,2014-07-15 21:56:22+00:00,566,446,0.0
488789829912522753,2014-07-14 20:59:11+00:00,275,240,0.4375
488392445583818752,2014-07-13 18:40:07+00:00,239,116,-0.8
487705070650159104,2014-07-11 21:08:44+00:00,508,457,0.575
487672273193533440,2014-07-11 18:58:25+00:00,256,171,-0.18229166666666669
487399687394037760,2014-07-11 00:55:15+00:00,769,872,0.9
486939593036406784,2014-07-09 18:27:00+00:00,355,269,0.0
486572302922838016,2014-07-08 18:07:31+00:00,382,371,0.39375
486210845458702337,2014-07-07 18:11:13+00:00,231,171,-0.4
484087064955068416,2014-07-01 21:32:04+00:00,85,89,0.0
482585111288766464,2014-06-27 18:03:51+00:00,99,97,0.0
481539895953862656,2014-06-24 20:50:32+00:00,314,356,0.0
480109582887309312,2014-06-20 22:06:59+00:00,116,216,0.2681818181818182
480102511563784192,2014-06-20 21:38:53+00:00,150,284,0.13636363636363635
